System,Issue URL,Symptom Category,Symptom Sub-Category,Symptom Stage,Root Cause Category,Root Cause Sub-Category,Root Cause Stage,Stage Gap,Fix Cost,Has PR,Fix Pattern,PR URL
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1880,SP-B: Behavior Faults,SP-B1: Low-quality result,S5: Generation,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S0: Initialization,5,25.06 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1858,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.4: Post-retrieval processing failure,S4: Post-Retrieval Processing,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S0: Initialization,4,1.51 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1813,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.4: Post-retrieval processing failure,S4: Post-Retrieval Processing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.7: A4.7,S4: Post-Retrieval Processing,0,4.59 hours,Yes,FP1: Data interaction and mapping,https://github.com/HKUDS/LightRAG/pull/1815
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1800,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.3: Embedding Model,S0: Initialization,1,11.01 hours,Yes,FP1: Data interaction and mapping,https://github.com/HKUDS/LightRAG/pull/1801
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1798,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S1: Indexing,0,13.48 hours,Yes,FP2: Component logic and algorithm,https://github.com/HKUDS/LightRAG/pull/1802
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1789,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S1: Indexing,0,65.12 hours,Yes,FP6: Lifecycle and resource scheduling,https://github.com/HKUDS/LightRAG/pull/1810
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1785,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S1: Indexing,0,31.73 hours,Yes,FP1: Data interaction and mapping,https://github.com/HKUDS/LightRAG/pull/1792
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1745,SP-B: Behavior Faults,SP-B2: Inefficient performance,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S0: Initialization,1,0 hours,Yes,FP2: Component logic and algorithm,https://github.com/HKUDS/LightRAG/pull/1743
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1742,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.3: Embedding Model,S0: Initialization,1,38.96 hours,Yes,FP4: Static definition and prompt tuning,https://github.com/HKUDS/LightRAG/pull/1750
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1731,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S0: Initialization,1,148.19 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1687,SP-B: Behavior Faults,SP-B1: Low-quality result,S5: Generation,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S0: Initialization,5,812.99 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1668,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S0: Initialization,1,963.75 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1666,SP-B: Behavior Faults,SP-B1: Low-quality result,S5: Generation,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S1: Indexing,4,464.97 hours,Yes,FP2: Component logic and algorithm,https://github.com/HKUDS/LightRAG/pull/1714
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1630,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S1: Indexing,0,558.63 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1613,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S1: Indexing,0,1420.71 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1594,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S0: Initialization,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S1: Indexing,1,921.06 hours,Yes,FP2: Component logic and algorithm,https://github.com/HKUDS/LightRAG/pull/1683
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1574,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S1: Indexing,0,29.65 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1573,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S0: Initialization,1,1615.75 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1569,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S0: Initialization,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S1: Indexing,1,12.69 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1567,SP-B: Behavior Faults,SP-B1: Low-quality result,S1: Indexing,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S0: Initialization,1,12.24 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1565,SP-B: Behavior Faults,SP-B2: Inefficient performance,S0: Initialization,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S0: Initialization,0,23.81 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1560,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.4: Post-retrieval processing failure,S4: Post-Retrieval Processing,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S0: Initialization,4,1667.35 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1536,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.1: LLM,S1: Indexing,0,2047.93 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1509,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S1: Indexing,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S0: Initialization,1,1867.19 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1498,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S0: Initialization,1,1930.39 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1495,SP-A: Functional Execution Faults,SP-A3: Configuration adherence fault,S0: Initialization,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,0,229.13 hours,Yes,FP4: Static definition and prompt tuning,https://github.com/HKUDS/LightRAG/pull/1547
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1438,SP-B: Behavior Faults,SP-B1: Low-quality result,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S1: Indexing,0,19.67 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1429,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.3: Retrieval failure,S3: Retrieval,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S3: Retrieval,0,0.91 hours,Yes,FP3: Checking and robustness,https://github.com/HKUDS/LightRAG/pull/1431
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1386,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S1: Indexing,0,8.89 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1327,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S0: Initialization,1,2433.36 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1321,SP-B: Behavior Faults,SP-B1: Low-quality result,S5: Generation,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S0: Initialization,5,4.82 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1306,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S1: Indexing,0,2476.75 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1251,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.3: Retrieval failure,S3: Retrieval,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S3: Retrieval,0,672.65 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1211,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.3: Retrieval failure,S3: Retrieval,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S0: Initialization,3,2737.28 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1241,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S0: Initialization,0,102.13 hours,Yes,FP2: Component logic and algorithm,https://github.com/HKUDS/LightRAG/pull/1237
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1189,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.3: Retrieval failure,S3: Retrieval,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S3: Retrieval,0,656.74 hours,Yes,FP2: Component logic and algorithm,https://github.com/HKUDS/LightRAG/pull/1427
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1179,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.3: Retrieval failure,S3: Retrieval,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S3: Retrieval,0,2811.13 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1176,SP-B: Behavior Faults,SP-B2: Inefficient performance,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S1: Indexing,0,2814.93 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1155,SP-A: Functional Execution Faults,SP-A3: Configuration adherence fault,S0: Initialization,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S0: Initialization,0,2879.29 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1144,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S0: Initialization,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S0: Initialization,0,2913.2 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1099,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.3: Retrieval failure,S3: Retrieval,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S3: Retrieval,0,6.58 hours,Yes,FP4: Static definition and prompt tuning,https://github.com/HKUDS/LightRAG/pull/1100
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1094,SP-B: Behavior Faults,SP-B1: Low-quality result,S1: Indexing,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S0: Initialization,1,3031.89 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1089,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S0: Initialization,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S0: Initialization,0,3062.58 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1088,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S1: Indexing,0,56.04 hours,Yes,FP1: Data interaction and mapping,https://github.com/HKUDS/LightRAG/pull/1091
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1086,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.3: Retrieval failure,S3: Retrieval,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S3: Retrieval,0,88.63 hours,Yes,FP2: Component logic and algorithm,https://github.com/HKUDS/LightRAG/pull/1087
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1082,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S0: Initialization,1,179.92 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1076,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.3: Retrieval failure,S3: Retrieval,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S3: Retrieval,0,100.73 hours,Yes,FP2: Component logic and algorithm,https://github.com/HKUDS/LightRAG/pull/1085
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1059,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.3: Retrieval failure,S3: Retrieval,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S3: Retrieval,0,14.36 hours,Yes,FP1: Data interaction and mapping,https://github.com/HKUDS/LightRAG/pull/1060
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1044,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.2: Query transformation failure,S2: Query Transformation,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.1: LLM,S2: Query Transformation,0,3.08 hours,Yes,FP4: Static definition and prompt tuning,https://github.com/HKUDS/LightRAG/pull/1045
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/951,SP-A: Functional Execution Faults,SP-A3: Configuration adherence fault,S1: Indexing,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S0: Initialization,1,103.16 hours,Yes,FP6: Lifecycle and resource scheduling,https://github.com/HKUDS/LightRAG/pull/969
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/945,SP-B: Behavior Faults,SP-B1: Low-quality result,S5: Generation,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,5,3471.61 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/936,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S0: Initialization,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,0,3481.36 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/915,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.3: Retrieval failure,S3: Retrieval,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S0: Initialization,3,3554.87 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/838,SP-B: Behavior Faults,SP-B1: Low-quality result,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S1: Indexing,0,3630.93 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/767,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S1: Indexing,0,99.21 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/680,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.1: LLM,S1: Indexing,0,952.53 hours,Yes,FP1: Data interaction and mapping,https://github.com/HKUDS/LightRAG/pull/1043
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/677,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S1: Indexing,0,4089.04 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/676,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S5: Generation,0,4089.14 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/625,SP-A: Functional Execution Faults,SP-A3: Configuration adherence fault,S0: Initialization,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.1: LLM,S0: Initialization,0,18.02 hours,Yes,FP1: Data interaction and mapping,https://github.com/HKUDS/LightRAG/pull/628
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/606,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.2: Database,S1: Indexing,0,737.03 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/249,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S1: Indexing,0,190.51 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/21,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S0: Initialization,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S0: Initialization,0,4.06 hours,No,N/A,N/A
HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/11,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.1: LLM,S1: Indexing,0,13.79 hours,No,N/A,N/A
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/9089,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S0: Initialization,RC-B: User Misconfigurations,RC-B2: Component coordination mistake,S0: Initialization,0,0 hours,No,N/A,N/A
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8965,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-B: User Misconfigurations,RC-B2: Component coordination mistake,S0: Initialization,5,143.26 hours,No,N/A,N/A
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8960,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.3: Embedding Model,S1: Indexing,1,40.48 hours,Yes,FP4: Static definition and prompt tuning,https://github.com/infiniflow/ragflow/pull/8998
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8926,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S0: Initialization,5,0 hours,No,N/A,N/A
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8909,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S1: Indexing,0,0 hours,No,N/A,N/A
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8840,SP-B: Behavior Faults,SP-B2: Inefficient performance,S0: Initialization,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S0: Initialization,0,2.34 hours,No,N/A,N/A
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8804,SP-B: Behavior Faults,SP-B1: Low-quality result,S1: Indexing,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S1: Indexing,0,93.21 hours,Yes,FP2: Component logic and algorithm,https://github.com/infiniflow/ragflow/pull/8844
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8719,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S1: Indexing,0,78.82 hours,Yes,FP3: Checking and robustness,https://github.com/infiniflow/ragflow/pull/8775
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8630,SP-B: Behavior Faults,SP-B1: Low-quality result,S1: Indexing,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S1: Indexing,0,162.15 hours,No,N/A,N/A
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8656,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,1,17.08 hours,Yes,FP3: Checking and robustness,https://github.com/infiniflow/ragflow/pull/8657
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8602,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,1,27.28 hours,Yes,FP3: Checking and robustness,https://github.com/infiniflow/ragflow/pull/8603
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8588,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S0: Initialization,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,0,0 hours,No,N/A,N/A
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8556,SP-A: Functional Execution Faults,SP-A3: Configuration adherence fault,S1: Indexing,RC-B: User Misconfigurations,RC-B4: Documentation-induced misconfiguration,S0: Initialization,1,63.5 hours,Yes,FP5: Environment and documentation maintenance,https://github.com/infiniflow/ragflow/pull/8590
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8503,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S1: Indexing,1,7.55 hours,Yes,FP6: Lifecycle and resource scheduling,https://github.com/infiniflow/ragflow/pull/8513
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8497,SP-A: Functional Execution Faults,SP-A3: Configuration adherence fault,S3: Retrieval,RC-B: User Misconfigurations,RC-B3: Configuration misunderstanding,S3: Retrieval,0,1.39 hours,No,N/A,N/A
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8467,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.5: Generation failure,S5: Generation,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S5: Generation,0,58.47 hours,Yes,FP2: Component logic and algorithm,https://github.com/infiniflow/ragflow/pull/8502
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8462,SP-A: Functional Execution Faults,SP-A3: Configuration adherence fault,S1: Indexing,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S1: Indexing,0,48.15 hours,Yes,FP3: Checking and robustness,https://github.com/infiniflow/ragflow/pull/8516
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8455,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.3: Embedding Model,S0: Initialization,1,0 hours,Yes,FP2: Component logic and algorithm,https://github.com/infiniflow/ragflow/pull/8398
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8443,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,1,13.68 hours,No,N/A,N/A
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8419,SP-A: Functional Execution Faults,SP-A3: Configuration adherence fault,S3: Retrieval,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,3,0.13 hours,No,N/A,N/A
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8369,SP-B: Behavior Faults,SP-B1: Low-quality result,S5: Generation,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S5: Generation,0,24.29 hours,No,N/A,N/A
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8360,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A4: External system adaptation bug > A4.3: Embedding Model,S1: Indexing,0,25.01 hours,Yes,FP2: Component logic and algorithm,https://github.com/infiniflow/ragflow/pull/8378
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8319,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S1: Indexing,0,169.8 hours,No,N/A,N/A
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8297,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A1: Configuration handling bug,S0: Initialization,0,92.23 hours,No,N/A,N/A
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8227,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.0: Initialization failure,S0: Initialization,RC-A: Configuration Bugs,RC-A2: RAG component implementation bug,S1: Indexing,1,21.71 hours,Yes,FP2: Component logic and algorithm,https://github.com/infiniflow/ragflow/pull/8250
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8226,SP-A: Functional Execution Faults,SP-A1: System crash and unavailability,S0: Initialization,RC-B: User Misconfigurations,RC-B1: Resource configuration mistake,S0: Initialization,0,91.14 hours,No,N/A,N/A
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8208,SP-A: Functional Execution Faults,SP-A2: Core pipeline fault > A2.1: Indexing failure,S1: Indexing,RC-A: Configuration Bugs,RC-A3: Inter-component integration bug,S0: Initialization,1,4.19 hours,Yes,FP3: Checking and robustness,https://github.com/infiniflow/ragflow/pull/8215
infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8193,SP-A: Functional Execution Faults,SP-A3: Configuration adherence fault,S1: Indexing,RC-B: User Misconfigurations,RC-B4: Documentation-induced misconfiguration,S0: Initialization,1,15.38 hours,No,N/A,N/A
